Date received,Product,Sub-product,Issue,Sub-issue,Company,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
07/31/2013,Credit reporting,,Incorrect information on credit report,Account status,"TransUnion Intermediate Holdings, Inc.",Postal mail,08/26/2013,Closed with explanation,Yes,No,501508
07/30/2013,Credit card,,Credit determination,,Wells Fargo & Company,Web,07/29/2013,Closed with explanation,Yes,No,469738
07/30/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,JPMorgan Chase & Co.,Web,07/30/2013,Closed with explanation,Yes,No,469739
07/30/2013,Credit card,,Credit determination,,Bank of America,Web,07/31/2013,Closed with explanation,Yes,Yes,469752
07/30/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,"Professional Debt Mediation, Inc.",Web,09/19/2013,Closed with explanation,Yes,No,469753
07/30/2013,Debt collection,Mortgage,Communication tactics,Threatened to take legal action,"Select Portfolio Servicing, Inc",Web,07/29/2013,Closed with explanation,Yes,Yes,466892
07/30/2013,Credit card,,Identity theft / Fraud / Embezzlement,,Barclays PLC,Web,07/29/2013,Closed with explanation,Yes,No,469755
07/31/2013,Credit reporting,,Incorrect information on credit report,Account terms,Capital One,Web,08-02-2013,Closed with explanation,Yes,No,470928
07/30/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,Bank of America,Web,07/30/2013,Closed with explanation,Yes,No,476001
07/31/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,JPMorgan Chase & Co.,Referral,08-05-2013,Closed with explanation,Yes,No,470978
07/30/2013,Credit reporting,,Incorrect information on credit report,Account status,Experian,Postal mail,08-12-2013,Closed with explanation,Yes,No,469777
07/30/2013,Credit reporting,,Incorrect information on credit report,Account status,Experian,Postal mail,08-12-2013,Closed with explanation,Yes,No,469781
